line	year	accession	stock	plot	sfw	rfw	dmc	tfw	trdm	hi	rs_ratio	row	col	rep	line_num
C2.8_ETH4255	2022	C2-8	C2-8	5052	5.97	5.58	36.31313131	11.55	2.026272727	0.483116883	0.934673367	55	11	1	4255
C2.8_ETH4255	2022	C2-8	C2-8	6014	4.26	3.58	33.60377358	7.84	1.203015094	0.456632653	0.840375587	20	12	2	4255
C2.8_ETH4255	2022	C2-8	C2-8	7103	4.04	3.16	31.28787879	7.2	0.98869697	0.438888889	0.782178218	8	15	3	4255
C2.8_ETH4255	2022	C2-8	C2-8	8005	1.6	0.97	35.93406593	2.57	0.34856044	0.377431907	0.60625	7	16	4	4255
C2.8_ETH4255	2022	C2-8	C2-8	9005	2.82	2.89	32.30327869	5.71	0.933564754	0.506129597	1.024822695	5	18	5	4255
C2.8_ETH4255	2022	C2-8	C2-8	10004	3.58	1.73	32.64814815	5.31	0.564812963	0.325800377	0.483240223	2	20	6	4255
C2.8_ETH4255	2022	C2-8	C2-8	11097	6.32	6.11	33.87850467	12.43	2.069976636	0.491552695	0.966772152	22	23	7	4255
C2.8_ETH4255	2022	C2-8	C2-8	12002	4.19	3.79	21.38317757	7.98	0.81042243	0.474937343	0.904534606	5	23	8	4255
C2.8_ETH4255	2022	C2-8	C2-8	13041	2.41	3.91	29.40860215	6.32	1.149876344	0.618670886	1.622406639	36	26	9	4255
C2.8_ETH4255	2022	C2-8	C2-8	14107	3.16	2.22	21.07777778	5.38	0.467926667	0.412639405	0.702531646	8	29	10	4255
C2.8_ETH4255	2023	C2-8	C2-8	603	2.22	0.706	31.57894737	2.926	0.222947368	0.241285031	0.318018018	53	1	1	4255
C2.8_ETH4255	2023	C2-8	C2-8	724	8.5	6.316	20.86956522	14.816	1.318121739	0.426295896	0.743058824	29	4	2	4255
C2.8_ETH4255	2023	C2-8	C2-8	799	4.76	2.882	34.65346535	7.642	0.998712871	0.377126407	0.605462185	42	6	3	4255
C2.8_ETH4255	2023	C2-8	C2-8	979	9.63	6.23	28.42105263	15.86	1.770631579	0.392812106	0.646936656	38	10	4	4255
C2.8_ETH4255	2023	C2-8	C2-8	1024	3.76	3.924	32.25806452	7.684	1.265806452	0.510671525	1.043617021	34	11	5	4255
C2.8_ETH4255	2023	C2-8	C2-8	1071	3.13	3.02	35.78947368	6.15	1.080842105	0.491056911	0.96485623	34	12	6	4255
C2.8_ETH4255	2023	C2-8	C2-8	1075	2.88	1.804	34.90566038	4.684	0.629698113	0.385140905	0.626388889	30	12	7	4255
C2.8_ETH4255	2023	C2-8	C2-8	1142	6.98	6.042	30.58823529	13.022	1.848141176	0.463984027	0.865616046	51	14	8	4255
C2.8_ETH4255	2023	C2-8	C2-8	1204	5.8	2.312	36.04651163	8.112	0.833395349	0.285009862	0.39862069	38	15	9	4255
C2.8_ETH4255	2023	C2-8	C2-8	1241	5.5	5.264	30.52631579	10.764	1.606905263	0.489037533	0.957090909	40	16	10	4255
C2.8_ETH4255	2023	C2-8	C2-8	1296	6.21	6.778	32	12.988	2.16896	0.521866338	1.091465378	42	17	11	4255
C2.8_ETH4255	2023	C2-8	C2-8	1333	1.5	1.452	35	2.952	0.5082	0.491869919	0.968	36	18	12	4255
C2.8_ETH4255	2023	C2-8	C2-8	1401	3.07	4.618	38.83495146	7.688	1.793398058	0.600676379	1.504234528	56	20	13	4255
C2.8_ETH4255	2023	C2-8	C2-8	1522	1.01	0.396	9.375	1.406	0.037125	0.281650071	0.392079208	23	22	14	4255
C2.8_ETH4255	2023	C2-8	C2-8	1681	4.01	2.764	33.01886792	6.774	0.912641509	0.408030706	0.689276808	40	26	15	4255
C2.8_ETH4255	2023	C2-8	C2-8	1733	5.97	5.568	34.02061856	11.538	1.894268041	0.482579303	0.932663317	39	27	16	4255
C2.8_ETH4255	2023	C2-8	C2-8	1742	3.05	3.888	33.33333333	6.938	1.296	0.560392044	1.274754098	48	27	17	4255
C2.8_ETH4255	2024	C2-8	C2-8	6037	2.38	4.5	38.58267717	6.88	1.736220472	0.654069767	1.890756303	28	10	1	4255
C2.8_ETH4255	2024	C2-8	C2-8	7054	0.83	1.63	34.82142857	2.46	0.567589286	0.662601626	1.963855422	37	12	2	4255
C2.8_ETH4255	2024	C2-8	C2-8	8102	2.27	3.8	39.47368421	6.07	1.5	0.626029654	1.674008811	15	14	3	4255
C2.8_ETH4255	2024	C2-8	C2-8	9087	3.29	5.5	40.74074074	8.79	2.240740741	0.625711035	1.671732523	56	16	4	4255
C2.8_ETH4255	2024	C2-8	C2-8	10058	1.59	3.29	41.50943396	4.88	1.365660377	0.674180328	2.06918239	18	17	5	4255
C2.8_ETH4255	2024	C2-8	C2-8	11063	1.94	3.23	35	5.17	1.1305	0.624758221	1.664948454	4	18	6	4255
C2.8_ETH4255	2024	C2-8	C2-8	12035	2.99	4.03	37.14285714	7.02	1.496857143	0.574074074	1.347826087	58	20	7	4255
C2.8_ETH4255	2024	C2-8	C2-8	13028	2.29	3.59	35.60606061	5.88	1.278257576	0.610544218	1.56768559	38	21	8	4255
C2.8_ETH4255	2024	C2-8	C2-8	14076	2.19	3.25	37.32394366	5.44	1.213028169	0.597426471	1.484018265	60	23	9	4255
C2.8_ETH4255	2024	C2-8	C2-8	15076	1.5	1.96	36.20689655	3.46	0.709655172	0.566473988	1.306666667	34	25	10	4255
C2.8_ETH4255	2024	C2-8	C2-8	16098	2.16	3.18	33.92857143	5.34	1.078928571	0.595505618	1.472222222	30	27	11	4255
C2.8_ETH4255	2024	C2-8	C2-8	17025	2.3	3.35	36.44067797	5.65	1.220762712	0.592920354	1.456521739	59	27	12	4255
